Tigrigna,English,file_name
"ሀንዛ","thin/thick home made cornbread"
"ሓረስታይ","farmer"
"ሓረየ","pick, choose"
"ሓረደ","cut, slaughter"
"ሓሪጭ","flour"
"ሓራሲት መኪና","tractor"
"ሓራቕ","angry"
"ሓራቖ","furious"
"ሓርሓረ","saw off"
"ሓርማዝ","elephant"
"ሓርነት","liberty, freedom"
"ሓርፋፍ","rough"
"ሓሰማ","pig"
"ሓሰር","hay, straw"
"ሓሰበ","think, consider"
"ሓሰኻ","worm, insect"
"ሓሰወ","lie"
"ሓሳብ","idea, thought"
"ሓሳብ ገለጸ","express"
"ሓሳዊ","liar"
"ሓሶት","lie"
"ሓሸሸ","spend"
"ሓቀኛ","honest"
"ሓቂ","truth, accuracy"
"ሓቐቐ","melt, dissolve"
"ሓቒቕ","crystal"
"ሓቓዊ","accurate"
"ሓቖነ","shake"
"ሓበረ","suggest, direct"
"ሓበሬታ","information, signal"
"ሓበን","pride"
"ሓባሪ","guide"
"ሓብቲ","sister"
"ሓብአ","hide, conceal"
"ሓቦ","bravery, courage"
"ሓተመ","print"
"ሓተተ","demand, apply, ask"
"ሓትነ","aunt (mother's side)"
"ሓትኖ","aunt (mother's side)"
"ሓንጎል","brain"
"ሓንፈጠ","scratch"
"ሓከመ","treat, look after"
"ሓኪም","doctor"
"ሓኸኸ","scrape"
"ሓኾረ","climb"
"ሓወ","brother"
"ሓወልቲ","monument, statue"
"ሓወሰ","mix"
"ሓወቦ","uncle-(father's side)"
"ሓወየ","cure"
"ሓዊ","fire"
"ሓዋወሰ","mix"
"ሓዘ","hold, handle, keep occupy"
"ሓዘን","mourning"
"ሓያል","strong, powerful"
"ሓያሎ","several"
"ሓይሊ","energy, power, force"
"ሓደ","one"
"ሓደ ግዜ","one time"
"ሓደገ","let"
"ሓደገኛ","dangerous"
"ሓደጋ","danger, accident"
"ሓደጋዊ","accidental"
"ሓዲሽ","new, fresh"
"ሓዲሽ ምጅማር","awakening"
"ሓዲሽ ዓመት","new year"
"ሓድነት","unity"
"ሓገዘ","assist, help"
"ሓገዝ","assistance, help"
"ሓገዝቲ","advocator"
"ሓጋዚ","advocator"
"ሓጋይ","summer"
"ሓግሓገ","rake, search"
"ሓጎስ","satisfaction contentment"
"ሓጥአ","sin"
"ሓጥያት","sin"
"ሓጨጨ","tease, mock"
"ሓጫጪ","mocking"
"ሓጸበ","wash"
"ሓጺር","short"
"ሓጺር ጽሑፍ","note"
"ሓጺን","iron"
"ሓፈሰ","harvest"
"ሓፈሻዊ","general"
"ሓፋር","timid, shy"
"ሕሉፍ","past"
"ሕልሚ","dream"
"ሕልና","conscience"
"ሕሙም","sick, ill"
"ሕሙኽሽታይ","grey"
"ሕማም","disease, illness"
"ሕማም ምትሕልላፍ","contagion"
"ሕማቕ","bad"
"ሕማቕ ዕድል","misfortune, bad luck"
"ሕምብርቲ","navel, center"
"ሕርሻ","agriculture"
"ሕርሻዊ","agricultural"
"ሕርቃን","ferocity"
"ሕርቓን","anger"
"ሕሱም","cruel, mean"
"ሕሳብ","account"
"ሕሹኽሹኽ","whisper, murmur"
"ሕሹኽሹኽ በለ","whisper"
"ሕቆ","back"
"ሕቡራት","united"
"ሕቡስ","prisoner"
"ሕብረት","union"
"ሕብረት ሰብ","society"
"ሕብሪ","colour"
"ሕብሪ ለኸየ","colour"
"ሕብሪ ዘይብሉ","colourless"
"ሕብራዊ","colourful"
"ሕቶ","appeal, question"
"ሕነ","revenge, vengeance"
"ሕነ ፈደየ","to avenge"
"ሕንባሻ","thick round leavened home made bread"
"ሕንጉጉ","locust"
"ሕንግድ","stubborn"
"ሕንጢል ሕንጥሊቶ","small  toe/finger"
"ሕንጻይ","parrot"
"ሕክምና","treatment, medicine"
"ሕውስዋስ","mixed"
"ሕውነታዊ","brotherly"
"ሕያዋይ","benevolent, kindly nice"
"ሕያውነት","benevolence kindness, gentleness"
"ሕዳር","November"
"ሕድሪ ሃበ","entrust, confide"
"ሕጂ","now"
"ሕጉስ","happy"
"ሕጊ","law"
"ሕጋዊ","legitimate"
"ሕጸ","engagement, betrothal"
"ሕጹይ","fiancé"
"ሕጺቲ","fiancée"
"ሕጻን","child, infant, baby"
"ሕጻንነት","infancy, childhood"
"ሕፍረት","shame, disgrace"
"መሃምራን","choir, chorus"
"መሃረ","educate, teach"
"መሃንድስ","engineer"
"መሃዘ","create, invent"
"መሃያ","wage, pay, salary"
"መለሰ","return, restore, give back, take back, answer, reply"
"መለሸ","answer"
"መለቐ","escape"
"መለንዛና","egg-plant"
"መለአ","fill up"
"መላገቢ","link"
"መልሓስ","tongue"
"መልሲ","answer, reply"
"መልአ","fill up"
"መልኣኽ","angel"
"መልእኽተኛ","messenger"
"መልእኽቲ","announcement"
"መልጎም","button"
"መሓለ","swear, vow"
"መሓረ","excuse, forgive"
"መሓሰበት","calculator"
"መሓውር","body, limb"
"መሓውር እንስሳ","foot, leg"
"መሓዛ","buddy, pal, friend"
"መሕለፊ","road, path, route"
"መሕብኢ","hiding place"
"መሕጸቢ ቤት","lavatory"
"መሕጸብ ስኒ","tooth-paste"
"መመሸጥ","comb"
"መመየ","sort"
"መመገቢ ክፍሊ","dining room"
"መማህርተይ","classmate"
"መምህር","teacher"
"መሞቒ","heater"
"መረቐ","bless"
"መረቕ","soup"
"መረብረቢ","watering can"
"መረጋገጺ","proof, evidence"
"መረጸ","choose, pick, select prefer, elect"
"መሪር","bitter"
"መራሒ","guide, president leader"
"መራሕ መኪና","driver"
"መራሕ ነፋሪት","pilot"
"መራብሒ ሓሰማ","pig farm"
"መራብሒ ደርሁ","henhouse"
"መራት","rusty"
"መራኸቢ","junction"
"መሬት, landscape"
"መርሐ","lead, direct"
"መርመረ","examine, scrutinize"
"መርበብ","website"
"መርትያ ኣቕረበ","prove"
"መርኣያ","sample"
"መርከብ","boat, ship"
"መርዓ","marriage, wedding"
"መርዓት ዓይኒ","centre of the eye, cornea, lens, pupil"
"መርዚ","poison"
"መርዛም","poisonous"
"መርፍእ","needle"
"መርፍእ ወረቐት","pin"
"መሰለ","seem"
"መሰል","right, privilege"
"መሰል ድምጺ","right to vote"
"መሰልከዊ","boring"
"መሰሎ","suppose"
"መሰማዕታ","alarm"
"መሰረተ","establish"
"መሰተ","drink"
"መሰናግለ","ribs"
"መሳልል","stool"
"መሳርሒ","equipment"
"መሳርሒ ኣቕሓ","instrument"
"መሳርያዊ ሙዚቃ","instrumental"
"መሳኹት ኣፍንጫ","nostril"
"መስሓቒ","amusement"
"መስሓቕ","amusing, funny"
"መስመራት","span, range"
"መስመር","rule, ruler, line, row"
"መስማር","nail"
"መስረተ","form"
"መስርሕ ሂወት","career"
"መስርዕ","column, pillar, rank"
"መስቀላዊ መንገዲ","crossroads road"
"መስቀል","cross"
"መስቀል ስእሊ","place/something used to hang a picture/painting"
"መስተ","beverage"
"መስተውዓሊ","attentive"
"መስተውዓሊት","attentive"
"መስትያት","mirror"
"መስኖወ","irrigate"
"መስኣሊ ኣስባስላ","brush"
"መስከረ","testify, give evidence"
"መስከረም","September"
"መስኮት","window"
"መስኮት ኣፍንጫ","nostril"
"መስዋእቲ","sacrifice"
"መስጊድ","mosque"
"መሸጣ","sale"
"መሽመሸ","rot, spoil"
"መሽገጥ","lock"
"መቐለ","divide up, share"
"መቐረት ዘይብሉ","tasteless"
"መቐስ","scissors"
"መቐበል ጋሻ","reception welcome"
"መቐንዘዊ","painful, aching"
"መቐዝ","scissors"
"መቐጸልታ","continuation"
"መቑለብ ዓሳ","fishhook"
"መቑሰልቲ","injury, wound"
"መቓልሕ","echo"
"መቓልሕ ሃበ","ring, echo"
"መቓብር","cemetery, grave"
"መቕዘፍቲ","disaster"
"መቕድሒ ፈሳሲ","pot"
"መቕጻዕቲ","fine, penalty punishment"
"መበቆላዊ","original"
"መበቆል","origin"
"መበገሲ","beginning, start"
"መባእታ ደረጃ","elementary school"
"መባእታዊ","primary"
"መብረድ","nail-file"
"መብዛሕቱኢ ግዝ","often"
"መብጽዓ","promise"
"መተሓላለፊ","passage"
"መተሓሳሰቢ","calculator"
"መተርኣስ","pillow, cushion"
"መተኣማመኒ","assurance, self-confidence"
"መተዓየዩ","tool"
"መታልሕ","temporalis muscle"
"መትልሕ","temple"
"መትረብ","channel"
"መትኒ","nerves"
"መትከል","principle"
"መትኮብ ዑፍ","beak"
"መነጸር","spectacles, goggles"
"መናፈሻ ቦታ","park"
"መንበር","chair"
"መንእሰይ","young"
"መንከሲ","sting"
"መንከስ","chin"
"መንኩብ","shoulder"
"መንኮርኮር","wheel"
"መንደል","chisel"
"መንደቒ ኡሕ","board, plank"
"መንደቕ","wall"
"መንዲል","handkerchief"
"መንዳዓት","hump, bump"
"መንገደኛ","passing, passenger"
"መንገዲ","route, path, road"
"መንገዲ ኣጋር","sidewalk pavement"
"መንጋጋ","jaw"
"መንግስቲ","government, state"
"መንጎኛ","umpire, referee"
"መንጫዕጫዕታ","fall, waterfall"
"መንፈርፈር","wing"
"መንፈስ","spirit"
"መንፈቕ","half-year, six months"
"መኣስ","when"
"መእተዊ","introduction"
"መእተዊ ህንጻ","street level ground floor"
"መእተዊ ክፍሊ","entrance"
"መኪና","car"
"መኪና ጽዕነት","lorry, truck"
"መካኒክ","mechanic"
"መኮነን","officer"
"መኸረ","advise"
"መኸኸ","melt, dissolve"
"መኻን","sterile, barren"
"መኽሰብ","gain, profit, benefit"
"መኽዘን አኽሊ","barn"
"መኽዘን ኽፍሊ","granary"
"መኽደኒ","coverage"
"መኽደኒ ናሕሲ","tile"
"መኽደኒ ድስቲ","cover, lid"
"መኽደኒ ጣውላ","tablecloth"
"መኾስተር","broom, brush"
"መወዳእታ","end, conclusion"
"መወዳእትኢ","finally"
"መዋቲ","dying"
"መውዓል ህጻናት","kindergarten"
"መውዓይ","heating"
"መውጽኢ","exit"
"መዓልቲ","day, daytime"
"መዓልታዊ","daily, everyday"
"መዓስከር","camp"
"መዓሸግ ባብር","bridge, deck"
"መዓት","disaster"
"መዓንጣ","intestine"
"መዕረፊ ክፍሊ","lounge, living room"
"መዕረፍ መጓዓዝያ","stop"
"መዕረፍ ባብር","station"
"መዕረፍ ነፈርቲ","airport"
"መዕቀሊ","shelter"
"መዕቆቢ","refuge"
"መዘነ","weigh, consider estimate, assess"
"መዘዘ","assign"
"መዘጋጃ ቤተ","town hall"
"መዛናጋዒ","amusement"
"መዛወሪ","stroll, walk"
"መዝገበ ቃላት","dictionary"
"መደምሰስ","eraser"
"መደምደምታ","conclusion"
"መደቀሲ ከፍሊ","bedroom"
"መደበ","decide"
"መደብ","program, plan, project"
"መደንደል","bar, rail"
"መደያይቦ","staircase, stairs"
"መደግፊ","support"
"መዳልያ","medal"
"መዳወሲ ሕብሪ","palette"
"መድሃኒት","remedy, cure medication"
"መድሓኒ","rescuer, saviour"
"መድረክ","platform, stage"
"መድፍዕ","gun, barrel"
"መጀለቢ","hook"
"መጀመርታ","beginning, start"
"መገሻ","journey, tour, trip"
"መገበ","serve"
"መጋረዲ","barrier"
"መጋረጀ","curtain, shutter"
"መጋርያ","furnace"
"መጋቢት","march"
"መግለጺ","announcement explanation, description"
"መግለጺ ሃበ","justify"
"መግለጺ ሓጎስ","congratulations"
"መግቢ","food"
"መግዛእታዊ","colonial"
"መግፈፊ","rake"
"መጎስ","praise"
"መጓሰ","herd, flock"
"መጓዓዝያ","mode of transport"
"መጠረሽታ","close, conclusion"
"መጠርነፊ","packing, package"
"መጠንቀቕታ","warning, alarm"
"መጠንቐቕታ","warning, alarm"
"መጠጠ","stretch"
"መጣቐዕቲ","applauder"
"መጥመሪ","band, tape"
"መጥቃዕቲ","attack"
"መጥበዊ","mammal"
"መጥባሕቲ","operation"
"መጸ","come"
"መጸየ","suck"
"መጺጽ","acidic"
"መጻኢ","next"
"መጻወቲ","amusement, toy"
"መጻወድያ","trap"
"መጽሓፍ","book"
"መጽሓፍ ጸብጻብ","brochure booklet, pamphlet"
"መጽሔት","illustrious"
"መጽናዕቲ","study"
"መጽናዕቲ ትምህርቲ","lesson reading"
"መፈተንታ","test"
"መፍለስ","wild boar"
"መፍትሒ","solution"
"መፍትሕ","key"
"ሙሕኹልቲ","legs/leg muscles"
"ሙቐት","temperature"
"ሙታንታ","underpants"
"ሙዕጉርቲ","cheek"
"ሙዚቀኛ","musician"
"ሙዚቃ","music"
"ሙዚቃዊ","musical"
"ሙዚቃዊ ምርኢት","concert"
"ሙዚቃዊ ጸወታ","performance"
"ሚሊ ሜተር","millimetre"
"ሚሰልቶ ተኽሊ","mistletoe"
"ሚኒስተር","minister"
"ሚእቲ","hundred"
"ሚዛን","weight"
"ሚያዝያ","April"
"ማህደረ","vocabulary"
"ማለት","mean"
"ማልመላታ","jam"
"ማልያ","undergarment"
"ማሐወ","tear out"
"ማሕለፍያ","glorious"
"ማሕላ","oath"
"ማሕረስ","ploughing"
"ማሕረሻ","plough, plough"
"ማሕስእ","kid"
"ማሕበራዊ","social"
"ማሕበር","company, association"
"ማሕተም","seal, impression"
"ማሕታ","spark"
"ማሕጎዳ","invent"
"ማሕጸን","uterus"
"ማረኸ","attract"
"ማርሞት","marmot"
"ማርተሎ","hammer"
"ማርኾት","attractiveness"
"ማስየ","make fun of, tease"
"ማሺን ጋን","machine gun"
"ማንቲለ","rabbit"
"ማንቲለ በረኻ","hare"
"ማንካ","spoon"
"ማንካ ነዳቓይ","trowel"
"ማእረረ","browse"
"ማእሰርቲ","arrest, custody"
"ማእከላይ","middle, medium"
"ማእከላይ ደረጃ","junior high school, middle school"
"ማእከል","middle, medium center"
"ማዓር","honey"
"ማዓር ኣከበ","gather honey"
"ማዓንጣ","small/large intestine"
"ማዕረ","equal, level"
"ማዕረ ማዕረ","parallel"
"ማዕበላዊ","stormy"
"ማዕበል","wave, storm"
"ማዕከን","treasury"
"ማዕከን ወረ","press"
"ማዕድን","mineral"
"ማዕጾ","door"
"ማያዊ","marshy"
"ማይ","water"
"ማይ ጨባ","similar to Butter milk"
"ሜለ","apple"
"ሜስ","honey wine, mead"
"ሜተር","meter"
"ሜዳ","ground"
"ምሁር","intellectual"
"ምህላው","be alive"
"ምህራም","bang"
"ምህዞ","invention"
"ምሉእ","complete, full"
"ምላሽ ሃበ","reply"
"ምልላይ","acquaint"
"ምልኩዕ","good looking"
"ምልክታ","notice"
"ምልክት","mark, symbol, signal sign"
"ምልዋጥ","transformation adjust"
"ምልዕዓል","rise"
"ምሓዝ","hold"
"ምሕላፍ","pass"
"ምሕምባሰ"," swimming"
"ምሕረት","grace, mercy, pardon"
"ምሕራቕ","anger"
"ምሕቃቐ","melting, thaw"
"ምሕታት","appeal"
"ምሕኩልቲ","hip"
"ምሕዋይ","cure, healing recovery"
"ምሕዝነት","alliance"
"ምሕዝና","alliance"
"ምሕጋዝ","advocate"
"ምሕጻብ ነብሲ","bath"
"ምምሕዳር","administration"
"ምምሕዳር ከተማ","municipal"
"ምምራቕ","graduate"
"ምምስጋን","applaud, appreciate"
"ምምቃል","division"
"ምምዕራይ","arrange"
"ምምዕርራይ ኣቑሑ","installation"
"ምራኽ","calf"
"ምርመራ","exam"
"ምርቓ","blessing"
"ምርባሕ","multiplication"
"ምርኢት","display, exhibition"
"ምርኩስ","cane"
"ምርዋ","sap"
"ምርዕው","marry off"
"ምርግጋጽ","affirm"
"ምርጫ","choice, selection preference"
"ምሳሕ","lunch"
"ምስ","with"
"ምስሉይ","hypocrite"
"ምስላ","proverb"
"ምስሓቕ","amuse"
"ምስማዕ","hearing"
"ምስምማዕ","agree"
"ምስራዕ","align"
"ምስትላም","surrender"
"ምስክር","witness"
"ምስክርነት","testimony"
"ምስጋና","gratitude, testimony thanks"
"ምስጢራዊ","mysterious"
"ምስጢር","mystery"
"ምሸት","evening"
"ምቁር","delicious, sweet"
"ምቁያቕ","argue"
"ምቅርራብ","get closer, be close to"
"ምቑጽጻር","adjust"
"ምቕሉል","obliging"
"ምቕልቃል","appearance"
"ምቕስቃስ","agitation, excitement"
"ምብራቅ","east, easterly"
"ምብጻቕ","visit"
"ምትራፍ","fail"
"ምትንፋስ","be alive"
"ምትውሳእ","act"
"ምቹእ","comfortable, favourable"
"ምቾት","comfort"
"ምናልባት","probably"
"ምናልባትነት","probability"
"ምናት","arm"
"ምንስሓብ","retreat, refuge"
"ምንቅስቓስ","movement"
"ምንቅስቓስ ኣካላት","gymnastics"
"ምንቅጥቃጥ","shiver"
"ምንጪ","source"
"ምንጻፍ","carpet"
"ምንጽጻር","comparison"
"ምእካብ ግብሪ","collect"
"ምእዙዝ","obedient"
"ምክልኻል","defence"
"ምክታዕ","argue"
"ምኹራይ","anger"
"ምኽሪ","advice, counsel"
"ምኽኒት","excuse"
"ምኽንያት","cause, reason"
"ምኽኣል","afford"
"ምኽፋል ዕዳ","acquittal"
"ምዉቕ ስምዒት","heat, ardour"
"ምዉት","late, deceased, dead"
"ምውስዋስ አካላት","gymnastics"
"ምውካል","advocate"
"ምውካስ","accuse"
"ምውዳቕ","fail"
"ምዕራባዊ","western"
"ምዕራብ","west"
"ምዕራይ","adjust, assemble"
"ምዕራፍ","chapter"
"ምዕባለ","progress, development"
"ምዕዶ","advice"
"ምዕጉርቲ","cheek"
"ምዕግርጋር","agitate"
"ምዝባጥ","bang"
"ምዝንጋዕ","amuse"
"ምዝዋር","circulation"
"ምዝጉብ","subscriber"
"ምይይጥ","consultation"
"ምድላይ","search"
"ምድማር","addition"
"ምድማጽ","adore"
"ምድረ በዳ","desert, deserted"
"ምድሪ","ground"
"ምድራዝ","massage"
"ምድናቕ","adore, amaze"
"ምድያብ","mountaineering"
"ምጅማር","begin, start"
"ምጉዳል","subtraction"
"ምግላጽ","expression"
"ምግራም","amaze"
"ምግባር","act"
"ምግጣም","align, assemble"
"ምግፋእ","peach"
"ምጥላዕ","game of chance"
"ምጥቓዕ","applaud"
"ምጥንቓቕ","alarm"
"ምጥው","charming"
"ምጥውና","charm"
"ምጥፋእ","suppression"
"ምጩውቲ","adorable"
"ምጩይ","adorable"
"ምጹጽላይ","squirrel"
"ምጽማም","resistance, tolerance"
"ምጽንናዕ","consolation"
"ምጽዋት","amuse"
"ምፍላጥ","acquaint"
"ምፍልላይ","separation"
"ምፍራድ","judge"
"ምፍታሕ","judge"
"ሞሎቐ","escape from"
"ሞራል","moral"
"ሞሳ","gratitude"
"ሞተ","perish, decease, die"
"ሞተር","motor, engine"
"ሞት","decease, death"
"ሞቶ","motorbike"
"ሞያ","profession"
"ሞያዊ","professional"
"ሞያዊ መጽሓፍ","manual"
"ሞገስ","appreciable"
"ሞጉዚት","guardian"
"ሞጎስ","compliment"
"ረሃጸ","perspire, sweat"
"ረሃጽ","sweat"
"ረሓቐ","go away, move away"
"ረምታ","rhythm"
"ረሰዐ","forget"
"ረሳሕ","dirty"
"ረሳን","fiery"
"ረስኒ","fever"
"ረስዐ","forget"
"ረቂቕ","thin"
"ረቝሐ","mention"
"ረበበ","align"
"ረቡዕ","Wednesday"
"ረብሓ","gain, benefit"
"ረብሓ ዘለዎ","profitable"
"ረብረበ","water, wet, spray"
"ረብሻ","agitation"
"ረኣምራታዊ","enormous tremendous"
"ረኣየ","see"
"ረከበ","find"
"ረክላም","advertisement"
"ረኸበ","find, get, discover"
"ረኸቦ","recover"
"ረዲኤት","help, assistance, aid"
"ረድአ","help, assist, aid"
"ረጂመንት","regiment"
"ረገመ","curse"
"ረጉድ","big, large"
"ረጎደ","enlarge"
"ረጥረጠ","abandon"
"ረፋዕ","porter"
"ሩር በለ","purr"
"ሩዝ","rice"
"ሩግኦ","yogurt"
"ሩፑብሊክ","republic"
"ራረወ","delude"
"ራብዓይ ክፍሊ","fourth grade"
"ራዕዲ","terror"
"ራይስ","rice"
"ራዲዮ","radio"
"ሬሳ","dead body"
"ርሀጽ","sweat"
"ርሑቕ","distant"
"ርሕቀት","distance"
"ርሱን","feverish"
"ርሳስ","pencil"
"ርሳዐ","forgetfulness, forgetting"
"ርሻን","house, building"
"ርቡዕ ኩርናዕ","rectangle"
"ርባሕ","produce, yield multiple"
"ርብዒ","quarter"
"ርትዓዊ","sensible, reasonable"
"ርእሰ ማል","capital"
"ርእሲ","head"
"ርእሲ ከተማ","capital"
"ርእየት","sight, view"
"ርእይቶ","opinion"
"ርከሳ","risk"
"ርክብ","meeting"
"ርኽክብ","correspondence"
"ርጉጻዊ","certainly"
"ርግመት","nastiness, malice"
"ርግቢ","pigeon"
"ርግቢት","pigeon"
"ርግኣት","balance, self-control"
"ርግጸኛ","sure, certain"
"ርግጻዊ","affirmable"
"ርግጽ","certain"
"ርግጽነት","certainty, sureness"
"ርጡብ","humid"
"ርጥረጣ","abandonment desertion, desertion"
"ርፍራፍ","debris, crumb"
"ሮቡዕ","Wednesday"
"ሮብራ","gull"
"ሮዝመሪ","rosemary"
"ሰለል","seesaw, swing"
"ሰለመ","decorate"
"ሰለስተ","three"
"ሰለስተ ዕጽፊ","triple"
"ሰለፍ","thigh, leg"
"ሰሉስ","Tuesday"
"ሰላማዊ","peaceful, quiet"
"ሰላም","peace"
"ሰላምታ","greeting"
"ሰላምታ ኢድ","handshake"
"ሰላሳ","thirty"
"ሰሌዳ","blackboard"
"ሰሌዳ ምልክት","sign"
"ሰልከየ","be bored"
"ሰልዲ","money"
"ሰሓለ","sharpen"
"ሰሓቐ","laugh"
"ሰሓበ","pull"
"ሰሓተ","miss"
"ሰመረ","grant, fulfill, unite combine"
"ሰመዐ","hear"
"ሰሙናዊ","weekly"
"ሰሙን","week"
"ሰማንያ","eighty"
"ሰማእት","martyr"
"ሰማያ","hearer, listener"
"ሰማያት","hearer, listener"
"ሰማያዊ","blue"
"ሰሜናዊ","northern"
"ሰሜን","north"
"ሰምዐ","listen"
"ሰረቐ","steal, burgle"
"ሰረተ","fund, found"
"ሰረጸ","penetrate"
"ሰራሕ መስኮት","glassmaker"
"ሰራሕ ሰዓት","clockmaker"
"ሰራሕ ሳእኒ","shoemaker"
"ሰራሕ ቱቦ ማይ","plumber"
"ሰራሕ ናሕሲ","roofer"
"ሰራሕ ገዛ","contractor"
"ሰራሕተኛታት","personnel, staff"
"ሰራቒ","thieving"
"ሰራዉር","vein"
"ሰራዊት","army"
"ሰራውር","artery"
"ሰርሐ","manufacture, build"
"ሰርነግ","bush"
"ሰርኖ","nostril"
"ሰርከስ","circus"
"ሰርዐ","organize, arrange, set up"
"ሰርገንቲ","sergeant"
"ሰቐለ","collide with, engage"
"ሰበ ስልጣን","authority"
"ሰበረ","break, break up"
"ሰበባ","foam"
"ሰበኸ","preach"
"ሰበይቱ ዝመተቶ","widowed widower, widow"
"ሰበይቲ","wife, woman, lady"
"ሰባት","people, folk"
"ሰባኺ","missionary"
"ሰብ","person"
"ሰብ ሓዳር","couple"
"ሰብኣዊ","humanitarian"
"ሰብኣያ ዝሞታ","widowed widower, widow"
"ሰብኣይ","man"
"ሰብዓ","seventy"
"ሰተረ","conceal, hide, cover"
"ሰተየ","drink"
"ሰታሪት","envelope"
"ሰታይ ቀለም","blotting-paper"
"ሰነ","June"
"ሰኑይ","Monday"
"ሰናፍጭ","mustard"
"ሰንሰለት","chain"
"ሰንበት","Sunday"
"ሰንቲ ሜተረ","centimetre"
"ሰንካቲ","baker"
